______________________ (Miss Universe)  ,,,,,,,,,,
____________________,,,,,,,,,,
,,,,,,,,,,
Titleholder,Continent,County,Hometown,Years,Age,Summary,EyeColor,HairColor,Ft,In
Armi Kuusela,Europe,Finland,Muhos,1950s,17,Winning Traits between 1952 and 1952,Blue,Blonde,5.51,66.14
Hillevi Rombin,Europe,Sweden,Alfta,1950s,21,Winning Traits between 1955 and 1955,Blue,Blonde,5.58,66.93
Rina Messinger,Asia,Israel,Kiryat Tiv'on,1970s,20,Winning Traits between 1976 and 1976,Blue,Blonde,5.58,66.93
Hillevi Rombin,Europe,Sweden,Alfta,1950s,21,Winning Traits between 1955 and 1955,Blue,Blonde,5.58,66.93
Yvonne Ryding,Europe,Sweden,Eskilstuna,1980s,21,Winning Traits between 1984 and 1984,Blue,Blonde,5.58,66.93
Lorraine Downes,Austraila+,New Zealand,Auckland,1980s,19,Winning Traits between 1983 and 1983,Blue,Blonde,,68.11
Margareta Arvidsson,Europe,Sweden,Gothenburg,1960s,18,Winning Traits between 1966 and 1966,Blue,Blonde,5.68,68.11
Shawn Weatherly,N America,United States,Sumter,1980s,20,Winning Traits between 1980 and 1980,Blue,Blonde,5.68,68.11
Marlene Schmidt,Europe,Germany,Stuttgart,1960s,24,Winning Traits between 1961 and 1961,Blue,Blonde,5.68,68.11
Jennifer Hawkins,Austraila+,Australia,Newcastle,2000s,20,Winning Traits between 2004 and 2004,Blue,Blonde,,70.87
Christiane Martel,Europe,France,Créteil,1950s,21,Winning Traits between 1953 and 1953,Blue,Brown,5.51,66.14
Miriam Stevenson,N America,United States,Winnsboro,1950s,21,Winning Traits between 1954 and 1954,Blue,Brown,5.51,66.14
Dayanara Torres,N America,Puerto Rico,Toa Alta,1990s,18,Winning Traits between 1993 and 1993,Blue,Brown,,66.93
Carol Morris,N America,United States,Ottumwa,1950s,20,Winning Traits between 1956 and 1956,Blue,Brown,5.58,66.93
Marisol Malaret,N America,Puerto Rico,San Juan,1970s,20,Winning Traits between 1970 and 1970,Blue,Brown,,68.11
Karen Dianne Baldwin,N America,Canada,London,1980s,18,Winning Traits between 1982 and 1982,Blue,Brown,5.84,70.08
Kerry Anne Wells,Austraila+,Australia,Perth,1970s,20,Winning Traits between 1972 and 1972,Blue,Brown,5.91,70.87
Natalie Glebova,N America,Canada,Toronto,2000s,23,Winning Traits between 2005 and 2005,Blue,Brown,5.91,70.87
Wendy Fitzwilliam,N America,Trinidad & Tobago,Diego Martin,1990s,25,Winning Traits between 1998 and 1998,Brown,Black,6,72.05
Apasra Hongsakula,Asia,Thailand,Bangkok,1960s,18,Winning Traits between 1965 and 1965,Brown,Black,5.35,64.17
Gloria Diaz,Asia,Philippines,Aringay,1960s,18,Winning Traits between 1969 and 1969,Brown,Black,,64.96
Akiko Kojima,Asia,Japan,Tokyo,1950s,22,Winning Traits between 1959 and 1959,Brown,Black,5.51,66.14
Margarita Moran,Asia,Philippines,Manila,1970s,19,Winning Traits between 1973 and 1973,Brown,Black,5.51,66.14
Gladys Zender,S America,Peru,Lima,1950s,18,Winning Traits between 1957 and 1957,Brown,Black,,66.93
Corinna Tsopei,Europe,Greece,Athens,1960s,20,Winning Traits between 1964 and 1964,Brown,Black,5.68,68.11
Lara Dutta,Asia,India,Mumbai,2000s,22,Winning Traits between 2000 and 2000,Brown,Black,5.68,68.11
Pia Wurtzbach,Asia,Philippines,Cagayan de Oro,2010s,26,Winning Traits between 2015 and 2015,Brown,Black,5.68,68.11
Porntip Nakhirunkanok,Asia,Thailand,Bangkok,1980s,20,Winning Traits between 1988 and 1988,Brown,Black,5.68,68.11
Chelsi Smith,N America,United States,Deer Park,1990s,21,Winning Traits between 1995 and 1995,Brown,Black,5.68,68.11
Mpule Kwelagobe,Africa,Botswana,Gaborone,1990s,19,Winning Traits between 1999 and 1999,Brown,Black,5.74,68.9
Sushmita Sen,Asia,India,New Delhi,1990s,18,Winning Traits between 1994 and 1994,Brown,Black,,68.9
Riyo Mori,Asia,Japan,Shizuoka,2000s,20,Winning Traits between 2007 and 2007,Brown,Black,5.74,68.9
Leila Lopes,Africa,Angola,Benguela,2010s,25,Winning Traits between 2011 and 2011,Brown,Black,5.84,70.08
Michelle McLean,Africa,Namibia,Windhoek,1990s,19,Winning Traits between 1992 and 1992,Brown,Blonde,,72.05
Anne Marie Pohtamo,Europe,Finland,Helsinki,1970s,19,Winning Traits between 1975 and 1975,Brown,Blonde,5.68,68.11
Irene Sáez,S America,Venezuela,Caracas,1980s,19,Winning Traits between 1981 and 1981,Brown,Blonde,5.84,70.08
Luz Marina Zuluaga,S America,Colombia,Pereira,1950s,19,Winning Traits between 1958 and 1958,Brown,Brown,,64.17
Janelle Commissiong,N America,Trinidad & Tobago,Port of Spain,1970s,24,Winning Traits between 1977 and 1977,Brown,Brown,5.41,64.96
Lupita Jones,N America,Mexico,Mexicali,1990s,23,Winning Traits between 1991 and 1991,Brown,Brown,5.58,66.93
Justine Pasek Succeeded,N America,Panama,Panama City,2000s,22,Winning Traits between 2002 and 2002,Brown,Brown,,66.93
Demi-Leigh Nel-Peters,Africa,South Africa,Sedgefield,2010s,22,Winning Traits between 2017 and 2017,Brown,Brown,5.58,66.93
Sylvia Hitchcock,N America,United States,Miami,1960s,21,Winning Traits between 1967 and 1967,Brown,Brown,5.58,66.93
Brook Lee,N America,United States,Pearl City,1990s,26,Winning Traits between 1997 and 1997,Brown,Brown,,66.93
Iris Mittenaere,Europe,France,Lille,2010s,24,Winning Traits between 2016 and 2016,Brown,Brown,5.68,68.11
Maritza Sayalero,S America,Venezuela,Caracas,1970s,18,Winning Traits between 1979 and 1979,Brown,Brown,5.68,68.11
